country_code,region_name,iata,icao,airport,latitude,longitude
AE,Ash Shariqah,SHJ,OMSJ,Sharjah International Airport,25.33,55.52
AE,Abu Zaby,AZI,OMAD,Al Bateen Executive Airport,24.43,54.46
AE,Al Fujayrah,FJR,OMFJ,Fujairah International Airport,25.11,56.32
AE,Abu Zaby,XSB,OMBY,Sir Bani Yas Airport,24.28,52.58
AE,Ra's al Khaymah,RKT,OMRK,Ras Al Khaimah International Airport,25.61,55.94
AE,Dubayy,DWC,OMDW,Al Maktoum International Airport,24.9,55.16
AE,Abu Zaby,DHF,OMAM,Al Dhafra Air Base,24.25,54.55
AE,Abu Zaby,ZDY,OMDL,Dalma Airport,24.51,52.34
AE,Dubayy,DCG,,Dubai Creek Seaplane Base,25.24,55.33
AE,Abu Zaby,AYM,,Yas Island Seaplane Base,24.47,54.61
AE,Dubayy,DJH,,Jebel Ali Seaplane Base,24.99,55.02
AE,Ra's al Khaymah,RHR,,Al Hamra Seaplane Base,25.69,55.78
AE,Dubayy,DXB,OMDB,Dubai International Airport,25.25,55.36
AE,Abu Zaby,AAN,OMAL,Al Ain International Airport,24.26,55.61
AE,Dubayy,NHD,OMDM,Al Minhad Air Base,25.03,55.37
AE,Abu Zaby,AUH,OMAA,Abu Dhabi International Airport,24.43,54.65
AF,Farah,FAH,OAFR,Farah Airport,32.37,62.18
AF,Faryab,MMZ,OAMN,Maymana Airport,35.93,64.76
AF,Khost,OLR,OASL,Forward Operating Base Salerno,33.36,69.96
AF,Badakhshan,KWH,OAHN,Khwahan Airport,37.88,70.22
AF,Ghazni,SBF,OADS,Sardeh Band Airport,33.32,68.64
AF,Badghis,LQN,OAQN,Qala i Naw Airport,34.98,63.12
AF,Badakhshan,FBD,OAFZ,Fayzabad Airport,37.12,70.52
AF,Khost,KHT,OAKS,Khost Airfield,33.33,69.95
AF,Badakhshan,SGA,OASN,Sheghnan Airport,37.57,71.5
AF,Herat,HEA,OAHR,Herat International Airport,34.21,62.23
AF,Ghazni,GZI,OAGN,Ghazni Airport,33.53,68.41
AF,Bamyan,BIN,OABN,Bamyan Airport,34.82,67.82
AF,Kandahar,KDH,OAKN,Kandahar International Airport,31.51,65.85
AF,Helmand,DWR,OADY,Dwyer Airport,31.0,64.0
AF,Kabul,GRG,OAGZ,Gardez Airport,33.63,69.24
AF,Kunduz,UND,OAUZ,Kunduz Airport,36.67,68.91
AF,Helmand,BST,OABT,Bost Airport,31.56,64.36
AF,Kandahar,URZ,OARG,Uruzgan Airport,32.9,66.63
AF,Kandahar,TII,OATN,Tarinkot Airport,32.6,65.87
AF,Paktika,URN,OAOG,Urgun Airport,32.93,69.16
AF,Herat,ZAJ,OAZJ,Zaranj Airport,30.97,61.87
AF,Helmand,OAZ,OAZI,Camp Bastion Air Base,31.86,64.22
AF,Balkh,MZR,OAMS,Mazar-e Sharif International Airport,36.71,67.21
AF,Badakhshan,KUR,OARZ,Razer Airport,37.75,-89.02
AF,Takhar,TQN,OATQ,Taloqan Airport,36.77,69.53
AF,Ghor,CCN,OACC,Chaghcharan Airport,34.53,65.27
AF,Badakhshan,DAZ,OADZ,Darwaz Airport,38.46,70.88
AF,Nangarhar,JAA,OAJL,Jalalabad Airport,34.4,70.5
AF,Logar,OAA,OASH,Forward Operating Base Shank,33.92,69.08
AF,Herat,OAH,OASD,Shindand Air Base,33.39,62.26
AF,Parwan,OAI,OAIX,Bagram Airfield,34.95,69.26
